base_model,variant_id,bias_type,iteration,rows,n_unique_barriers,dupes_removed
phi4,phi4_normative2,BIAS_EXAMPLE,5,5,5,0
phi4,phi4_normative2,BIAS_EXAMPLE,6,5,5,0
phi4,phi4_normative2,BIAS_EXAMPLE,7,5,5,0
phi4,phi4_normative2,BIAS_EXAMPLE,8,5,5,0
phi4,phi4_normative2,BIAS_EXAMPLE,9,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,0,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,1,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,2,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,3,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,4,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,5,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,6,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,7,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,8,5,5,0
phi4,phi4_normative2,BIAS_NUM_HIGH,9,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,0,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,1,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,2,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,3,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,4,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,5,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,6,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,7,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,8,5,5,0
phi4,phi4_normative2,BIAS_NUM_LOW,9,5,5,0
phi4,phi4_normative2,BIAS_WORD,0,5,5,0
phi4,phi4_normative2,BIAS_WORD,1,5,5,0
phi4,phi4_normative2,BIAS_WORD,2,5,5,0
phi4,phi4_normative2,BIAS_WORD,3,5,5,0
phi4,phi4_normative2,BIAS_WORD,4,5,5,0
phi4,phi4_normative2,BIAS_WORD,5,5,5,0
phi4,phi4_normative2,BIAS_WORD,6,5,5,0
phi4,phi4_normative2,BIAS_WORD,7,5,5,0
phi4,phi4_normative2,BIAS_WORD,8,5,5,0
phi4,phi4_normative2,BIAS_WORD,9,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,0,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,1,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,2,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,3,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,4,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,5,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,6,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,7,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,8,5,5,0
phi4,phi4_subject_matter,BIAS_EXAMPLE,9,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,0,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,1,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,2,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,3,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,4,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,5,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,6,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,7,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,8,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_HIGH,9,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,0,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,1,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,2,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,3,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,4,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,5,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,6,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,7,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,8,5,5,0
phi4,phi4_subject_matter,BIAS_NUM_LOW,9,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,0,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,1,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,2,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,3,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,4,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,5,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,6,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,7,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,8,5,5,0
phi4,phi4_subject_matter,BIAS_WORD,9,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,0,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,1,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,2,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,3,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,4,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,5,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,6,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,7,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,8,5,5,0
phi4,phi4_subject_matter2,BIAS_EXAMPLE,9,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,0,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,1,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,2,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,3,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,4,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,5,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,6,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,7,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,8,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_HIGH,9,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,0,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,1,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,2,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,3,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,4,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,5,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,6,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,7,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,8,5,5,0
phi4,phi4_subject_matter2,BIAS_NUM_LOW,9,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,0,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,1,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,2,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,3,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,4,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,5,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,6,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,7,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,8,5,5,0
phi4,phi4_subject_matter2,BIAS_WORD,9,5,5,0
